,Company Name,Overview,Rating,Highly Rated For,Critically Rated For,Reviews,Salaries,Interviews,Jobs,Benefits,Photos
789,Mahindra CIE Automotive,Auto Components | 1k-5k Employees | Public | 25 years old | Mumbai +37 more,3.8,,"Promotions / Appraisal, Job Security, Company Culture",889,4k,51,71,92,--
790,CSB Bank,Banking | 1k-5k Employees | 104 years old | Thrissur/Trichur +152 more,3.4,,"Promotions / Appraisal, Company Culture, Work Satisfaction",888,4.9k,53,107,46,--
791,Godrej Consumer Products,FMCG | 1k-5k Employees | Public | 23 years old | Mumbai +109 more,4.3,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,887,4.2k,35,8,125,4
792,Intertek,Other | 1k-5k Employees | 27 years old | London +81 more,3.8,,"Promotions / Appraisal, Salary & Benefits",887,3.8k,34,19,116,1
793,JW Marriott,Hospitality | 1k-5k Employees | 97 years old | Bethesda +38 more,4.1,"Job Security, Skill Development / Learning, Company Culture",,886,2.2k,30,--,158,--
794,Godrej Properties,Real Estate | 1k-5k Employees | Public | 34 years old | Mumbai +27 more,3.7,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",885,5.6k,55,68,112,1
795,PNB Housing Finance,Financial Services | 1k-5k Employees | Public | 36 years old | Delhi/NCR +113 more,3.9,Job Security,Promotions / Appraisal,885,4k,34,5,90,--
796,TUV SUD,Other | 1k-5k Employees | 158 years old | Munich +93 more,4.0,,Promotions / Appraisal,884,3.6k,43,34,99,1
797,TE Connectivity,Electronics Manufacturing | 1k-5k Employees | Forbes Global 2000 | 83 years old | Schaffhausen +13 more,4.1,"Company Culture, Work Life Balance, Job Security",,884,5.8k,43,40,159,--
798,Zf Rane Automotive,Auto Components | 1k-5k Employees | Chennai +45 more,4.1,"Skill Development / Learning, Work Satisfaction",Promotions / Appraisal,884,3.7k,40,--,138,--
799,Gannon Dunkerley & Co.,Engineering & Construction | 1k-5k Employees | 100 years old | Mumbai +66 more,3.9,,"Salary & Benefits, Promotions / Appraisal",883,2.3k,26,--,117,1
800,Mondelez International,Food Processing | 1k-5k Employees | Forbes Global 2000 | 12 years old | Mumbai +135 more,4.4,"Salary & Benefits, Company Culture, Job Security",,881,4k,38,58,134,9
801,Jaquar,Building Material | 10k-50k Employees | 64 years old | Manesar +83 more,4.2,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,881,4k,38,--,123,--
802,Automotive Manufacturers,Automobile | 10k-50k Employees | 76 years old | Hyderabad / Secunderabad +119 more,4.2,"Job Security, Skill Development / Learning, Work Life Balance",,879,5.9k,66,--,79,2
803,Sahara India Pariwar,Broadcasting | 5k-10k Employees | Conglomerate | 46 years old | Lucknow +220 more,3.8,,"Promotions / Appraisal, Salary & Benefits",878,2.6k,22,3,107,5
804,Spencer's Retail,Retail | 1k-5k Employees | Public | 161 years old | Kolkata +56 more,3.9,Job Security,Promotions / Appraisal,877,2.9k,32,16,99,--
805,Karma Ayurveda,Healthcare | 51-200 Employees | New Delhi +3 more,4.5,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",,877,390,4,--,33,--
806,Adobe,Software Product | 5k-10k Employees | Public | 27 years old | Noida +14 more,4.2,"Company Culture, Work Life Balance, Job Security",,876,10.4k,156,20,175,1
807,JSW Cement,Building Material | 1k-5k Employees | Conglomerate | 15 years old | Nandyal +109 more,4.1,"Job Security, Salary & Benefits, Company Culture",,876,3.7k,72,--,109,12
808,Apexon,IT Services & Consulting | 1k-5k Employees | 28 years old | Bangalore / Bengaluru +15 more,3.4,,"Promotions / Appraisal, Job Security, Salary & Benefits",876,7.6k,61,104,27,1
809,Slk Software Services,IT Services & Consulting | 1k-5k Employees | 24 years old | Bangalore / Bengaluru +10 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",876,8.5k,56,119,99,--
810,Punj Lloyd,Engineering & Construction | 5k-10k Employees | Public | 42 years old | Gurgaon / Gurugram +70 more,4.3,"Work Life Balance, Company Culture, Work Satisfaction",,875,2.2k,15,--,140,--
811,IIFL SAMASTA,NBFC | 10k-50k Employees | Bangalore / Bengaluru +263 more,4.1,"Skill Development / Learning, Job Security",,875,2k,39,5,22,7
812,Worley,Engineering & Construction | 5k-10k Employees | 53 years old | Navi Mumbai +42 more,4.1,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,874,5.6k,75,75,127,--
813,Dhoot Transmission,Power | 201-500 Employees | 26 years old | Aurangabad +29 more,3.7,,"Promotions / Appraisal, Salary & Benefits, Job Security",870,3.8k,43,--,115,1
814,Petrofac,Engineering & Construction | 1k-5k Employees | 43 years old | Sharjah +37 more,4.4,"Salary & Benefits, Company Culture, Work Satisfaction",,870,2.7k,36,13,116,5
815,Capri Global Capital,NBFC | 1k-5k Employees | Public | 27 years old | New Delhi +213 more,3.7,,"Job Security, Promotions / Appraisal, Work Satisfaction",870,3k,37,28,39,9
816,Morningstar,Financial Services | 1k-5k Employees | 40 years old | Navi Mumbai +16 more,3.9,"Company Culture, Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",864,7k,164,157,125,3
817,Siemens Gamesa Renewable Energy,Power | 1k-5k Employees | 48 years old | Chennai +56 more,4.1,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,862,4.8k,40,45,106,1
818,Hinduja Leyland Finance,NBFC | 1k-5k Employees | 18 years old | Chennai +226 more,4.1,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,861,2.3k,17,2,73,--
819,R Systems International,IT Services & Consulting | 1k-5k Employees | Public | 31 years old | Noida +15 more,3.4,,"Job Security, Promotions / Appraisal, Skill Development / Learning",860,7k,74,37,116,5
820,Sonata Software,IT Services & Consulting | 1k-5k Employees | Public | 38 years old | Bangalore/Bengaluru +12 more,3.7,,"Promotions / Appraisal, Salary & Benefits",860,10.8k,71,173,89,--
821,Tikona Infinet,Telecom | 1k-5k Employees | 16 years old | Mumbai +46 more,3.7,,"Promotions / Appraisal, Salary & Benefits, Job Security",857,3.1k,22,--,87,--
822,Hatsun Agro Product,Food Processing | 5k-10k Employees | Public | 54 years old | Chennai +100 more,4.0,Skill Development / Learning,,857,4.1k,52,5,108,1
823,Coca-Cola Company,Beverage | 5k-10k Employees | Forbes Global 2000 | 138 years old | Atlanta +162 more,4.3,"Skill Development / Learning, Company Culture, Work Life Balance",,856,2.8k,69,27,102,1
824,Serco,Analytics & KPO | 5k-10k Employees | 36 years old | Hook +39 more,4.4,"Work Life Balance, Work Satisfaction, Company Culture",,856,1.6k,25,--,140,1
825,NSH,Engineering & Construction | 501-1k Employees | 46 years old | Al Jubail +43 more,3.7,Job Security,"Company Culture, Promotions / Appraisal, Salary & Benefits",856,2.1k,21,--,107,--
826,Nielsen,Analytics & KPO | 1k-5k Employees | 101 years old | New York City +72 more,3.8,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",855,5.4k,52,--,130,6
827,Viraj Profiles,Iron & Steel | 1k-5k Employees | 24 years old | Mumbai +21 more,3.8,,"Promotions / Appraisal, Company Culture, Salary & Benefits",853,4k,53,2,155,--
828,Shriram Life Insurance,Insurance | 1k-5k Employees | Conglomerate | 19 years old | Hyderabad/Secunderabad +216 more,3.8,Work Life Balance,Promotions / Appraisal,852,3.4k,41,7,83,--
829,Thyrocare Technologies,Healthcare | 1k-5k Employees | Public | 28 years old | Mumbai +61 more,3.5,,"Promotions / Appraisal, Job Security, Salary & Benefits",852,4.1k,51,9,95,1
830,Podar International School,Education & Training | 5k-10k Employees | 97 years old | Mumbai +105 more,4.3,"Skill Development / Learning, Job Security, Company Culture",,852,2.7k,40,--,120,7
831,Urban Company,Internet | 1k-5k Employees | Indian Unicorn | 9 years old | Gurgaon +51 more,3.6,,"Job Security, Promotions / Appraisal, Work Life Balance",848,4.3k,75,94,111,11
832,Decathlon,Retail | 1k-5k Employees | 48 years old | Lille +63 more,4.0,"Company Culture, Skill Development / Learning, Job Security","Work Life Balance, Promotions / Appraisal",847,3.4k,57,11,115,2
833,Strides Pharma,Pharma | 201-500 Employees | Public | 34 years old | Bangalore/Bengaluru +30 more,3.9,Skill Development / Learning,"Job Security, Promotions / Appraisal",847,3.9k,46,4,145,--
834,HPCL-Mittal Energy Limited,Petrochemicals | 1k-5k Employees | 17 years old | Noida +26 more,4.3,"Job Security, Salary & Benefits, Company Culture",,847,4.2k,28,--,120,4
835,iQor Global Services,BPO | 1k-5k Employees | 26 years old | Saint Petersburg +50 more,3.5,,"Promotions / Appraisal, Job Security, Skill Development / Learning",847,2.7k,14,20,115,6
836,Episource,IT Services & Consulting | 1k-5k Employees | 18 years old | Gardena +13 more,3.8,"Job Security, Company Culture",Promotions / Appraisal,846,3.7k,173,3,84,2
837,OpenText Technologies,Software Product | 1k-5k Employees | 33 years old | Waterloo +9 more,3.9,"Work Life Balance, Company Culture",Promotions / Appraisal,845,8.9k,91,70,106,3
838,Arvind Lifestyle Brands,Retail | 201-500 Employees | Bangalore / Bengaluru +85 more,4.2,"Skill Development / Learning, Company Culture, Work Life Balance",,845,2.3k,7,--,2,--
839,Atos Global IT Solutions And Services,IT Services & Consulting | 5k-10k Employees | 24 years old | Navi Mumbai +16 more,4.0,"Work Life Balance, Job Security, Skill Development / Learning",,843,8.2k,65,243,107,10
840,JK Lakshmi Cement,Building Material | 1k-5k Employees | Public | 42 years old | Delhi/NCR +113 more,3.9,,,842,3.3k,41,1,99,1
841,Mando Automotive,Auto Components | 1k-5k Employees | Fortune India 500 | 18 years old | Kanchipuram +18 more,3.9,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits",842,4.7k,40,--,129,1
842,RBL FinServe,Financial Services | 5k-10k Employees | 19 years old | Mumbai +276 more,4.1,"Salary & Benefits, Skill Development / Learning, Work Satisfaction",,841,2.7k,32,20,82,1
843,Kirloskar Oil Engines,Industrial Machinery | 1k-5k Employees | Public | 78 years old | Pune +83 more,4.2,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,840,3.6k,33,3,104,1
844,Airtel Payments Bank,FinTech | 501-1k Employees | Public | 8 years old | Delhi/NCR +224 more,4.2,"Skill Development / Learning, Company Culture, Work Life Balance",,840,3.8k,50,49,116,2
845,FastInfo,EdTech | 501-1k Employees | Startup | 5 years old | Kolkata +7 more,4.3,"Skill Development / Learning, Company Culture, Work Life Balance",,839,621,19,1,358,2
846,PNC Infratech,Engineering & Construction | 5k-10k Employees | Public | 25 years old | Delhi/NCR +74 more,4.0,Job Security,Promotions / Appraisal,838,3.2k,43,3,81,2
847,Amazon Logistics,Logistics | 51-200 Employees | Hyderabad / Secunderabad +115 more,4.3,"Company Culture, Skill Development / Learning, Salary & Benefits",,838,3k,58,--,86,3
848,Sunknowledge Services ,BPO | 1k-5k Employees | 18 years old | New York +11 more,4.0,"Job Security, Skill Development / Learning, Work Satisfaction",,837,2.4k,41,6,227,--
849,Bajaj Housing Finance,NBFC | 1k-5k Employees | 16 years old | Pune +120 more,3.9,,"Work Life Balance, Company Culture, Work Satisfaction",836,4.7k,42,16,62,2
850,Sri Chaitanya Educational Institutions,Education & Training | 50k-1 Lakh Employees | 38 years old | Hyderabad/Secunderabad +83 more,3.8,,"Salary & Benefits, Promotions / Appraisal, Work Life Balance",835,3k,29,--,69,--
851,MDIndia Health Insurance TPA,Insurance | 5k-10k Employees | 24 years old | Pune +76 more,3.8,,"Promotions / Appraisal, Salary & Benefits",835,3.4k,44,9,88,3
852,Shubham Housing Development Finance,NBFC | 1k-5k Employees | 14 years old | Gurgaon +111 more,4.0,"Job Security, Skill Development / Learning, Company Culture",,834,2.7k,23,2,74,1
853,Kendriya Vidyalaya Sangathan,Education & Training | 10k-50k Employees | Public | 61 years old | Delhi/NCR +207 more,4.4,"Skill Development / Learning, Company Culture, Work Life Balance","Job Security, Promotions / Appraisal",834,1.7k,63,--,63,1
854,iMerit,Software Product | 1k-5k Employees | Startup | 12 years old | Kolkata +10 more,3.8,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",831,3.9k,67,17,104,--
855,Onward Technologies Inc,Software Product | 1k-5k Employees | Public | 33 years old | Mumbai +61 more,3.2,,"Job Security, Promotions / Appraisal, Skill Development / Learning",831,5.4k,49,57,46,16
856,Altimetrik,IT Services & Consulting | 1k-5k Employees | 12 years old | Southfield +10 more,3.9,"Work Life Balance, Salary & Benefits, Company Culture",,829,8.5k,105,106,120,10
857,V5 Global Services,Recruitment | 10k-50k Employees | 19 years old | Delhi/NCR +154 more,3.9,,Promotions / Appraisal,827,2.7k,47,166,76,2
858,Parexel International,Healthcare | 1k-5k Employees | 42 years old | Massachusetts +12 more,4.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,827,5.3k,55,3,127,4
859,Ion Exchange India,Waste Management | 1k-5k Employees | Public | 60 years old | Mumbai +86 more,3.9,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",826,4.1k,41,16,91,3
860,Jubilant Pharmova,Pharma | 1k-5k Employees | Public | 46 years old | Noida +53 more,4.0,Salary & Benefits,,825,4k,51,40,118,5
861,BGR Energy Systems,Engineering & Construction | 1k-5k Employees | Public | 39 years old | Chennai +49 more,3.9,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",824,3.9k,36,--,124,--
862,Aarvee Associates,Engineering & Construction | 1k-5k Employees | 35 years old | Hyderabad/Secunderabad +126 more,4.0,,Promotions / Appraisal,823,3.1k,54,6,104,2
863,Volkswagen,Automobile | 1k-5k Employees | Forbes Global 2000 | 23 years old | Mumbai +95 more,4.2,"Work Life Balance, Company Culture, Skill Development / Learning",,820,3.5k,24,3,98,15
864,Barbeque Nation,Hospitality | 5k-10k Employees | 18 years old | Bangalore/Bengaluru +69 more,4.0,"Company Culture, Job Security, Skill Development / Learning",,820,2.5k,24,14,120,9
865,Rockman Industries,Auto Components | 1k-5k Employees | 64 years old | Delhi/NCR +30 more,3.9,Skill Development / Learning,,818,3.6k,61,30,104,1
866,Jacobs Engineering Group,Engineering & Construction | 1k-5k Employees | Forbes Global 2000 | 77 years old | Dallas +33 more,4.1,"Work Life Balance, Company Culture, Job Security",,817,4.5k,45,39,97,1
867,XcelServ Solutions,IT Services & Consulting | 501-1k Employees | 13 years old | Las Vegas +35 more,4.6,"Work Life Balance, Job Security, Salary & Benefits",,815,508,4,--,28,--
868,NTT DATA Business Solutions,IT Services & Consulting | 1k-5k Employees | Bangalore / Bengaluru +24 more,3.8,,Promotions / Appraisal,815,7.8k,48,--,18,--
869,Evision Technoserve,Recruitment | 51-200 Employees | 12 years old | Delhi/NCR +63 more,4.7,"Company Culture, Work Life Balance, Work Satisfaction",,813,233,15,--,41,--
870,DCM Shriram,Chemicals | 5k-10k Employees | Public | 34 years old | Delhi/NCR +73 more,4.2,"Job Security, Company Culture, Work Life Balance",,812,4k,55,27,127,--
871,Novo Nordisk,Pharma | 1k-5k Employees | Forbes Global 2000 | 101 years old | New York City +64 more,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,812,5k,61,62,134,10
872,The Ramco Cements,Building Material | 1k-5k Employees | Public | 63 years old | Chennai +90 more,4.3,"Job Security, Company Culture, Work Life Balance",,811,3.2k,34,--,100,--
873,Intel,Semiconductors | 10k-50k Employees | Public | 56 years old | Santa Clara +32 more,4.3,"Work Life Balance, Company Culture, Work Satisfaction",,811,7.7k,129,505,101,9
874,Chetu,Software Product | 1k-5k Employees | 24 years old | Sunrise +7 more,3.3,,"Job Security, Work Life Balance, Salary & Benefits",808,7.4k,121,33,120,22
875,Softenger,IT Services & Consulting | 501-1k Employees | 25 years old | Pune +30 more,4.3,"Company Culture, Work Life Balance, Work Satisfaction",,807,2.3k,32,16,167,12
876,Edelweiss Tokio Life Insurance,Insurance | 1k-5k Employees | 13 years old | Mumbai +114 more,3.9,,,807,3.4k,30,6,95,1
877,Power Grid Corporation of India,Power | 5k-10k Employees | Fortune India 500 | 35 years old | Gurgaon/Gurugram +184 more,4.4,"Salary & Benefits, Company Culture, Work Life Balance",,806,2k,48,--,81,4
878,Vertex Customer Solutions,IT Services & Consulting | 5k-10k Employees | 14 years old | Panchkula +32 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",805,1.8k,8,1,89,1
879,1point1 Solutions,BPO | 5k-10k Employees | Public | 16 years old | Navi Mumbai +14 more,3.4,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",803,3k,57,63,90,2
880,OM Logistics,Logistics | 1k-5k Employees | 25 years old | Delhi/NCR +101 more,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,802,3k,41,7,101,1
881,Lemon Tree Hotels,Hospitality | 5k-10k Employees | Public | 22 years old | Delhi/NCR +63 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,802,2.7k,31,--,141,--
882,Vistaar Finance,NBFC | 1k-5k Employees | 14 years old | Bengaluru/Bangalore +166 more,4.2,"Company Culture, Salary & Benefits, Skill Development / Learning",,801,2.2k,18,6,137,3
883,ReNew,Power | 1k-5k Employees | 13 years old | Gurgaon +75 more,4.3,"Job Security, Company Culture, Work Life Balance",,799,3.9k,55,191,100,--
884,Ceasefire Industries,Industrial Machinery | 1k-5k Employees | 22 years old | Noida +69 more,3.3,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",797,2.8k,62,8,76,--
885,Medplus(optival Health Solutions),501-1k Employees | Fortune India 500 | 18 years old | Hyderabad +84 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",797,3.1k,48,10,61,--
886,GAO Tek,Electrical Equipment | 201-500 Employees | 19 years old | New York +27 more,4.5,"Skill Development / Learning, Work Life Balance, Company Culture",Salary & Benefits,796,128,39,24,41,--
887,V2 Retail,Retail | 1k-5k Employees | Public | 23 years old | Delhi/NCR +88 more,3.6,,"Job Security, Company Culture, Work Satisfaction",795,2.3k,38,--,90,1
888,Nippon Paint India,Chemicals | 1k-5k Employees | Forbes Global 2000 | 143 years old | Osaka +117 more,4.1,"Skill Development / Learning, Work Life Balance",,794,3.4k,40,5,89,1
889,Hyundai Mobis,Auto Components | 1k-5k Employees | Forbes Global 2000 | 7 years old | Kanchipuram +41 more,3.9,"Job Security, Salary & Benefits",Promotions / Appraisal,794,4.5k,45,3,143,--
890,Capacit'e Infraprojects,Engineering & Construction | 1k-5k Employees | Public | 12 years old | Mumbai +30 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Company Culture",794,3.3k,43,2,65,--
891,Aerial Telecom Solutions,Telecom | 5k-10k Employees | 14 years old | Mohali +84 more,4.5,"Work Life Balance, Work Satisfaction, Company Culture",,793,1.8k,29,19,35,1
892,TechnipFMC,Industrial Machinery | 1k-5k Employees | 7 years old | Paris +40 more,4.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,789,5.3k,51,1,111,--
893,Unicharm,Beauty & Personal Care | 1k-5k Employees | Forbes Global 2000 | 63 years old | Mita +139 more,4.2,"Job Security, Skill Development / Learning, Salary & Benefits",,789,2.6k,39,1,112,--
894,Brillio,IT Services & Consulting | 1k-5k Employees | 10 years old | Edison +11 more,3.6,,"Promotions / Appraisal, Job Security, Work Satisfaction",789,8.4k,76,145,84,5
895,Provana,IT Services & Consulting | 1k-5k Employees | 13 years old | Lisle +5 more,3.7,,Promotions / Appraisal,788,2.9k,40,28,270,4
896,ThyssenKrupp Industries India,Industrial Machinery | 1k-5k Employees | Conglomerate | 77 years old | Pune +44 more,4.1,"Job Security, Work Life Balance, Company Culture",,785,4.3k,42,--,93,2
897,Hindustan Zinc,Metals & Mining | 1k-5k Employees | Public | 58 years old | Udaipur +27 more,3.9,Salary & Benefits,"Work Life Balance, Company Culture, Job Security",781,4.3k,34,--,107,--
898,Nykaa,Internet | 1k-5k Employees | Public | 12 years old | Mumbai +80 more,3.5,,"Promotions / Appraisal, Company Culture, Work Satisfaction",780,4.8k,68,101,61,3
899,Muthoot Microfin,NBFC | 10k-50k Employees | 9 years old | Ernakulam +230 more,4.4,"Skill Development / Learning, Job Security, Company Culture",,780,2k,22,8,68,14
900,Kotak Mahindra Prime,NBFC | 5k-10k Employees | Public | 28 years old | Mumbai +121 more,4.1,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,780,3.8k,39,--,69,--
901,Happiest Minds Technologies,IT Services & Consulting | 1k-5k Employees | Public | 13 years old | Bangalore +13 more,3.9,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,779,9.1k,73,55,96,9
902,GEP Worldwide,IT Services & Consulting | 1k-5k Employees | 25 years old | Clark +10 more,3.8,"Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits",779,7k,72,84,133,10
903,Hathway,Broadcasting | 501-1k Employees | 65 years old | Mumbai +47 more,3.7,,"Promotions / Appraisal, Salary & Benefits, Job Security",779,3.6k,34,5,77,--
904,Dana Anand,Auto Components | 1k-5k Employees | 31 years old | Delhi/NCR +37 more,4.2,"Skill Development / Learning, Company Culture, Job Security",,778,2.8k,30,--,130,--
905,Qualcomm,Semiconductors | 10k-50k Employees | Forbes Global 2000 | 28 years old | San Diego +15 more,3.9,"Salary & Benefits, Company Culture",,778,10.5k,179,504,150,1
906,Intex Technologies,Consumer Electronics & Appliances | 1k-5k Employees | Public | 28 years old | Delhi/NCR +71 more,3.6,,"Job Security, Promotions / Appraisal, Company Culture",777,1.9k,13,4,97,--
907,United Alliance Technology,IT Services & Consulting | Pune +9 more,4.9,"Company Culture, Work Life Balance, Work Satisfaction",,777,34,4,--,99,--
908,TEKsystems,IT Services & Consulting | 1k-5k Employees | 41 years old | Hanover +13 more,3.5,,"Promotions / Appraisal, Job Security, Skill Development / Learning",776,8.4k,50,83,86,2
909,Reliance AJIO ,Internet | 1k-5k Employees | 8 years old | Bengaluru +189 more,3.8,,Promotions / Appraisal,776,2.5k,53,5,102,--
910,CarDekho,Internet | 1k-5k Employees | Indian Unicorn | 16 years old | Jaipur +68 more,3.7,,"Job Security, Promotions / Appraisal",775,4.3k,49,138,112,20
911,CenturyPly,Furniture & Furnishing | 1k-5k Employees | Public | 38 years old | Kolkata +99 more,4.0,,Promotions / Appraisal,774,3.5k,43,4,56,--
912,Bosch Chassis Systems,Auto Components | 1k-5k Employees | 73 years old | Gerlingen +21 more,4.2,"Company Culture, Skill Development / Learning, Work Satisfaction",Promotions / Appraisal,773,2.7k,28,--,119,--
913,Stanza Living,Internet | 501-1k Employees | Startup | 7 years old | Delhi +30 more,3.1,,"Job Security, Promotions / Appraisal, Work Satisfaction",773,3k,62,245,63,13
914, TK Elevator,Industrial Machinery | 1k-5k Employees | 29 years old | Essen +65 more,4.0,"Work Life Balance, Job Security",Promotions / Appraisal,772,3.5k,35,1,101,--
915,More Supermarket ,Retail | 10k-50k Employees | 17 years old | Mumbai +124 more,3.9,,"Promotions / Appraisal, Job Security",772,3.1k,48,2,59,--
916,ZF Steering Gear,Auto Components | 501-1k Employees | Public | 109 years old | Pune +22 more,3.8,,"Promotions / Appraisal, Salary & Benefits",772,5.2k,24,25,105,--
917,Colliers International,Real Estate | 1k-5k Employees | 29 years old | Ontario +32 more,4.0,,,772,4k,42,66,79,--
918,Apotex Research,Pharma | 201-500 Employees | 21 years old | Brantford +13 more,4.2,"Work Life Balance, Company Culture, Job Security",,771,2.7k,18,12,111,--
919,TradeIndia (Infocom Network Private Limited),Internet | 1k-5k Employees | 28 years old | Noida +39 more,3.4,,"Promotions / Appraisal, Job Security, Work Satisfaction",771,4.5k,49,80,59,26
920,Feedback Infrastructure Services,Engineering & Construction | 5k-10k Employees | 34 years old | Gurgaon/Gurugram +120 more,3.5,,"Promotions / Appraisal, Salary & Benefits, Job Security",771,3.1k,33,7,93,--
921,Tube Investments of India,Engineering & Construction | 1k-5k Employees | Public | 75 years old | Chennai +54 more,4.0,"Skill Development / Learning, Job Security, Work Life Balance",Promotions / Appraisal,770,2.9k,30,18,60,5
922,Pizza Hut,Hospitality | 1k-5k Employees | 66 years old | Plano +103 more,3.9,Skill Development / Learning,,769,2k,31,--,83,3
923,Colgate Palmolive,FMCG | 1k-5k Employees | Public | 87 years old | New York +98 more,4.2,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,768,3.8k,49,36,120,--
924,Karur Vysya Bank,Banking | 5k-10k Employees | Public | 108 years old | Karur +133 more,3.8,,"Promotions / Appraisal, Company Culture, Work Satisfaction",768,3.5k,31,30,61,--
925,Spandana Sphoorty Financial,NBFC | 10k-50k Employees | Public | 26 years old | Hyderabad/Secunderabad +226 more,3.8,,,767,2.2k,26,19,80,2
926,Kinara Capital,FinTech | 1k-5k Employees | 13 years old | Bangalore +108 more,4.5,"Company Culture, Skill Development / Learning, Work Life Balance",,767,1.7k,52,63,156,39
927,Acuity Knowledge Partners,Financial Services | 1k-5k Employees | 22 years old | London +12 more,3.5,Job Security,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",766,7.4k,73,187,86,14
928,Kirloskar Brothers,Industrial Machinery | 1k-5k Employees | Public | 136 years old | Pune +57 more,4.1,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,765,4k,44,--,102,11
929,Syngenta,Agriculture | 1k-5k Employees | 24 years old | Basel +136 more,4.3,"Company Culture, Work Life Balance, Skill Development / Learning",,765,3.1k,43,36,92,5
930,Diageo,Beverage | 1k-5k Employees | Public | 27 years old | London +83 more,4.1,"Work Life Balance, Salary & Benefits, Company Culture",Promotions / Appraisal,764,5.5k,45,31,108,2
931,Fidelity Investments,Financial Services | 5k-10k Employees | 78 years old | Boston +14 more,4.3,"Job Security, Company Culture, Work Life Balance",,764,8.3k,51,2,172,--
932,Secure Meters,Electronics Manufacturing | 1k-5k Employees | Public | 37 years old | Udaipur +68 more,4.1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,764,3.9k,44,39,108,8
933,Rashmi Metaliks,Iron & Steel | 1k-5k Employees | 20 years old | Kolkata +25 more,3.6,,"Company Culture, Job Security, Work Satisfaction",764,3.5k,43,39,70,4
934,Imperial Auto Industries,Auto Components | 1k-5k Employees | Public | 55 years old | Faridabad +33 more,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",764,4.1k,38,10,69,4
935,Aditya Birla Finance,NBFC | 1k-5k Employees | 12 years old | Mumbai +145 more,3.9,"Salary & Benefits, Skill Development / Learning, Work Life Balance",,763,4.2k,26,23,53,2
936,H.G. Infra Engineering,Engineering & Construction | 1k-5k Employees | Public | 21 years old | Jaipur +76 more,4.4,"Skill Development / Learning, Salary & Benefits, Company Culture",,762,2.3k,50,1,93,--
937,Genius Consultants,Recruitment | 201-500 Employees | 31 years old | Kolkata +75 more,3.8,,"Promotions / Appraisal, Salary & Benefits",761,3.6k,38,69,77,--
938,Dassault Systemes,Software Product | 5k-10k Employees | Forbes Global 2000 | 43 years old | Velizy-villacoublay +8 more,4.1,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",760,5.8k,85,4,148,5
939,Sundaram Finance,NBFC | 1k-5k Employees | Public | 70 years old | Chennai +204 more,4.2,"Job Security, Company Culture, Work Life Balance",,760,2.8k,25,26,85,7
940,Ahluwalia Contracts India,Engineering & Construction | 1k-5k Employees | Public | 59 years old | Delhi/NCR +47 more,4.1,Job Security,Promotions / Appraisal,760,2.8k,31,15,73,2
941,Tata Chemicals,Chemicals | 1k-5k Employees | Public | 85 years old | Mumbai +78 more,4.2,"Job Security, Skill Development / Learning, Work Life Balance",,760,2.7k,45,18,136,8
942,Pricol,Auto Components | 1k-5k Employees | Public | 49 years old | Coimbatore +25 more,4.0,"Skill Development / Learning, Work Satisfaction, Company Culture",Promotions / Appraisal,758,4k,31,2,94,15
